年份,交易次数,胜率%,均益%,盈亏比
1991,1,100.0,92.71,0.0
1992,1,100.0,131.1,0.0
1993,4,50.0,-1.54,0.55
1994,21,14.29,-7.7,0.9
1995,18,16.67,-6.04,0.64
1996,31,45.16,4.46,2.28
1997,15,20.0,-3.58,2.05
1998,136,43.38,1.11,1.7
1999,90,20.0,0.52,4.4
2000,120,33.86,0.11,1.84
2001,242,36.89,-2.67,0.74
2002,353,14.08,-4.7,0.56
2003,332,36.04,-1.75,0.99
2004,199,39.7,-1.35,1.03
2005,184,15.51,-4.04,2.85
2006,82,59.04,44.88,8.64
2007,75,61.33,33.37,5.33
2008,56,26.32,11.45,6.99
2009,89,29.21,-2.54,1.25
2010,148,29.73,-2.19,1.34
2011,145,13.1,-4.96,1.57
2012,243,58.94,-0.1,0.65
2013,226,25.99,-1.8,1.89
2014,245,52.24,13.57,4.73
2015,95,37.89,1.32,1.97
2016,158,27.16,-1.82,1.49
2017,379,16.54,-3.44,1.68
2018,127,14.96,-4.77,1.67
2019,135,21.53,-2.48,1.83
2020,215,24.0,-1.17,2.28
2021,263,26.62,-0.46,2.49
2022,286,16.38,-3.03,2.37
2023,368,16.26,-4.43,0.91
2024,183,27.03,-1.37,1.9
2025,388,37.63,1.84,2.57
2026,1,0.0,-4.37,
所有年份总计,5710,29.19,-0.0,2.39
