code,close,turnover,rsi,name
600179,5.52,7.54,64.71,安通控股
000510,11.58,12.44,69.74,新金路
603212,14.29,8.11,61.29,赛伍技术
000561,12.22,8.46,63.57,烽火电子
600237,8.96,7.58,64.79,铜峰电子
002296,11.2,7.59,64.14,辉煌科技
600973,7.3,12.88,65.69,宝胜股份
002171,13.26,8.94,74.39,楚江新材
688033,7.7,5.04,63.71,天宜新材
600531,11.75,6.93,63.22,豫光金铅
603311,15.28,7.07,72.27,金海高科
000863,6.23,9.23,70.19,三湘印象
002611,19.22,8.66,64.21,东方精工
002800,15.76,9.63,62.1,天顺股份
600736,6.76,11.3,67.16,苏州高新
603305,16.18,7.16,71.52,旭升集团
002669,15.2,5.69,75.94,康达新材
002295,13.32,9.62,60.84,精艺股份
603458,10.02,12.29,69.92,勘设股份
002537,9.06,7.35,68.67,海联金汇
600775,12.22,5.26,67.37,南京熊猫
603028,9.32,14.64,79.65,赛福天
600152,7.3,5.21,63.38,维科技术
603095,17.84,5.5,68.5,越剑智能
002169,11.57,13.51,74.4,智光电气
002465,15.75,11.62,77.75,海格通信
002879,18.57,5.19,61.9,长缆科技
002579,12.18,7.44,61.42,中京电子
603660,11.03,8.43,61.35,苏州科达
002510,7.33,5.53,64.1,天汽模
600376,6.61,13.71,64.36,首开股份
603876,15.01,5.49,66.16,鼎胜新材
600338,15.04,5.26,65.51,西藏珠峰
600865,16.4,13.83,66.04,百大集团
002748,12.91,6.54,61.43,世龙实业
603809,14.35,7.55,67.63,豪能股份
